station_id,reservoir,river,wma,prov,wss,district_mun,fsc_mcm_median,n_observations,first_date,last_date
A1R001,Ngotwane,Ngotwane,1,NW,,DC38,19.03,52,20240422,20260420
A2R001,Hartbeespoort,Krokodil,1,NW,CW,DC37,185.79,52,20240422,20260420
A2R002,BonAccord,Apies,1,G,,TSH,4.38,52,20240422,20260420
A2R003,Olifantsnek,Hex,1,NW,,DC37,13.68,52,20240422,20260420
A2R004,Rietvlei,Hennops,1,G,CW,TSH,12.25,52,20240422,20260420
A2R005,Buffelspoort,Sterkstroom,1,NW,,DC37,10.18,52,20240422,20260420
A2R006,Bospoort,Hex,1,NW,CW,DC37,15.8,52,20240422,20260420
A2R007,Lindleyspoort,Elands,1,NW,,DC37,14.21,52,20240422,20260420
A2R008,~Warmbad,Buffelspruit,1,LP,,DC36,0.55,52,20240422,20260420
A2R009,Roodeplaat,Pienaars,1,G,CW,TSH,41.16,52,20240422,20260420
A2R011,Kosterrivier,Koster,1,NW,,DC37,12.42,52,20240422,20260420
A2R012,Klipvoor,Pienaars,1,NW,CW,DC37,40.73,52,20240422,20260420
A2R013,Swartruggens,Elands,1,NW,,DC37,0.47,52,20240422,20260420
A2R014,Vaalkop,Elands,1,NW,CW,DC37,51.32,52,20240422,20260420
A2R015,Roodekopjes,Krokodil,1,NW,CW,DC37,96.35,52,20240422,20260420
A2R018,Middelkraal,Maretlwane,1,NW,,DC37,0.74,52,20240422,20260420
A3R001,Marico-Bosveld,Groot-Marico,1,NW,,DC38,26.93,52,20240422,20260420
A3R002,Klein-Maricopoort,Klein Marico,1,NW,,DC38,7.23,52,20240422,20260420
A3R003,Kromellenboog,Klein Marico,1,NW,,DC38,8.65,52,20240422,20260420
A3R004,Molatedi,Groot-Marico,1,NW,,DC38,200.78,52,20240422,20260420
A3R005,Sehujwane,Sehujane,1,NW,,DC38,3.61,52,20240422,20260420
A3R006,Madikwe,Tholwane,1,NW,,DC37,15.94,52,20240422,20260420
A3R007,Pella,Lethlakane,1,NW,,DC37,2.11,52,20240422,20260420
A4R001,Mokolo,Mokolo,1,LP,,DC36,145.77,52,20240422,20260420
A6R001,Doorndraai,Sterk,1,LP,,DC36,44.93,52,20240422,20260420
A6R002,GlenAlpine,Mogalakwena,1,LP,,DC35,18.89,52,20240422,20260420
A7R002,Houtrivier,Hout,1,LP,,DC35,6.62,52,20240422,20260420
A8R001,Nzhelele,Nzhelele,1,LP,,DC34,51.23,52,20240422,20260420
A8R002,Luphephe,Luphephe,1,LP,,DC34,13.98,52,20240422,20260420
A8R003,Nwanedzi,Nwanedzi,1,LP,,DC34,5.14,52,20240422,20260420
A8R004,&Mutshedzi,Mutshedzi,1,LP,,DC34,2.34,52,20240422,20260420
A9R001,Albasini,Luvuvhu,1,LP,LV,DC34,28.2,52,20240422,20260420
A9R002,Vondo,Mutshindudi,1,LP,LV,DC34,30.45,52,20240422,20260420
A9R004,Nandoni,Levhuvhu,1,LP,LV,DC34,166.11,52,20240422,20260420
B1R001,Witbank,Olifants,2,M,,DC31,104.02,52,20240422,20260420
B1R002,Middelburg,LittleOlifants,2,M,,DC31,48.06,52,20240422,20260420
B2R001,Bronkhorstspruit,Bronkhorstspruit,2,G,,TSH,56.99,52,20240422,20260420
B3R001,Rust DeWinter,Elands,2,LP,,DC36,28.19,52,20240422,20260420
B3R002,Loskop,Olifants,2,M,,DC31,361.51,52,20240422,20260420
B3R005,Rhenosterkop,Elands,2,M,,DC31,204.58,52,20240422,20260420
B4R001,Tonteldoos,Tonteldoos,2,LP,,DC47,0.19,52,20240422,20260420
B4R002,Vlugkraal,Vlugkraal,2,LP,,DC47,0.44,52,20240422,20260420
B4R004,Buffelskloof,Waterval,2,M,,DC32,5.24,52,20240422,20260420
B4R007,De Hoop,Steelpoort,2,LP,,DC47,348.7,52,20240422,20260420
B5R002,FlagBoshielo,Olifants,2,LP,PK,DC47,185.13,52,20240422,20260420
B6R001,Ohrigstad,Ohrigstad,2,M,,DC32,13.45,52,20240422,20260420
B6R003,Blyderivierpoort,Blyde,2,M,,DC32,54.37,52,20240422,20260420
B7R001,Klaserie,Klaserie,2,LP,,DC33,5.6,52,20240422,20260420
B7R003,Tours,Ngwabitsi,2,LP,,DC33,6.08,52,20240422,20260420
B8R001,Ebenezer,Groot-Letaba,2,LP,PK,DC33,69.14,52,20240422,20260420
B8R002,HansMerensky,Ramadiepa,2,LP,,DC33,1.22,52,20240422,20260420
B8R003,Magoebaskloof,Politsi,2,LP,,DC33,4.84,52,20240422,20260420
B8R004,Vergelegen,Tributary ofPolitsi,2,LP,,DC33,0.25,52,20240422,20260420
B8R005,Tzaneen,Groot-Letaba,2,LP,,DC33,114.28,52,20240422,20260420
B8R006,DapNaude,Broederstroom,2,LP,,DC33,1.94,52,20240422,20260420
B8R007,Middel-Letaba,Middel-Letaba,2,LP,,DC33,171.93,52,20240422,20260420
B8R009,Nsami,Nsama,2,LP,,DC33,21.87,52,20240422,20260420
B8R011,Modjadji,Molototsi,2,LP,,DC33,7.2,52,20240422,20260420
B8R012,Thabina,Thabina,2,LP,,DC33,3.42,49,20240923,20260420
C1R001,Vaal,Vaal,5,FS,IV,DC42,2560.97,52,20240422,20260420
C1R002,Grootdraai,Vaal,5,M,IV,DC30,349.53,52,20240422,20260420
C2R001,Boskop,Mooi,5,NW,,DC40,19.96,52,20240422,20260420
C2R002,JohanNeser,Skoonspruit,5,NW,,DC40,5.67,52,20240422,20260420
C2R003,Klerkskraal,Mooi,5,NW,,DC40,7.92,52,20240422,20260420
C2R004,Potchefstroom,Mooi,5,NW,,DC40,2.03,52,20240422,20260420
C2R005,Klipdrift,Loopspruit,5,G,,DC48,13.3,52,20240422,20260420
C2R006,Elandskuil,Swartleegte,5,NW,,DC40,1.18,52,20240422,20260420
C2R007,Rietspruit,Rietspruit,5,NW,,DC40,7.28,52,20240422,20260420
C2R008,VaalrivierBarrage,Vaal,5,FS,,DC42,53.62,52,20240422,20260420
C3R002,Spitskop,Harts,5,NC,,DC9,57.83,52,20240422,20260420
C3R006,Taung,Harts,5,NW,,DC39,61.37,52,20240422,20260420
C4R001,Allemanskraal,Sand,5,FS,,DC18,172.48,52,20240422,20260420
C4R002,Erfenis,Groot-Vet,5,FS,,DC18,206.06,52,20240422,20260420
C5R001,Tierpoort,Tierpoort,6,FS,,MAN,34.0,52,20240422,20260420
C5R002,Kalkfontein,Riet,6,FS,,DC16,325.13,52,20240422,20260420
C5R003,Rustfontein,Modder,6,FS,BF,MAN,72.11,52,20240422,20260420
C5R004,Krugersdrift,Modder,6,FS,,MAN,71.48,52,20240422,20260420
C5R005,Groothoek,Kgabanyane,6,FS,BF,MAN,11.9,52,20240422,20260420
C7R001,Koppies,Renoster,5,FS,,DC20,42.31,52,20240422,20260420
C8R002,Metsi-Matsho,Metsi-Matsho,5,FS,,DC19,4.38,52,20240422,20260420
C8R003,~Sterkfontein,Nuwejaarspruit,5,FS,IV,DC19,2616.9,52,20240422,20260420
C8R004,~Saulspoort,Liebenbergsvlei,5,FS,,DC19,15.01,52,20240422,20260420
C8R008,Fika-Patso,Namahadi,5,FS,,DC19,29.41,52,20240422,20260420
C9R001,~VaalhartsWeir,Vaal,5,NC,,DC9,50.68,52,20240422,20260420
C9R002,Bloemhof,Vaal,5,FS,IV,DC18,1242.91,52,20240422,20260420
C9R003,~DouglasWeir,Vaal,6,NC,,DC7,16.24,52,20240422,20260420
D1R001,Jozanashoek,Sterkspruit,6,EC,,DC14,9.47,52,20240422,20260420
D1R002,* Katse,Malibamatso,11,L,IV,,1519.1,52,20240422,20260420
D1R003,* Mohale,Senqunyane,11,L,IV,,843.53,52,20240422,20260420
D2R001,Egmont,Witspruit,6,FS,,MAN,9.06,52,20240422,20260420
D2R002,Armenia,Leeu,6,FS,,DC19,13.22,52,20240422,20260420
D2R004,~Welbedacht,Caledon,6,FS,BF,MAN,5.42,52,20240422,20260420
D2R006,Knellpoort,Rietspruit,6,FS,BF,MAN,130.16,52,20240422,20260420
D3R002,Gariep,Orange,6,FS,OR,DC16,4903.45,52,20240422,20260420
D3R003,Vanderkloof,Orange,6,FS,OR,DC16,3136.93,52,20240422,20260420
D4R003,Disaneng,Molopo,5,NW,,DC38,14.12,52,20240422,20260420
D4R004,Setumo,Molopo,5,NW,,DC38,20.72,52,20240422,20260420
D7R001,~Boegoeberg,Orange,6,NC,,DC7,20.61,52,20240422,20260420
E1R001,Bulshoek,Olifants,9,WCw,,DC1,4.81,52,20240422,20260420
E1R002,Clanwilliam,Olifants,9,WCw,,DC1,122.48,52,20240422,20260420
E4R001,Karee,Karee,9,NC,,DC6,0.96,52,20240422,20260420
G1R001,Voelvlei,Voelvlei,9,WCw,CT,DC2,158.59,52,20240422,20260420
G1R002,Wemmershoek,Wemmers,9,WCw,CT,DC2,58.71,52,20240422,20260420
G1R003,~Misverstand,Berg,9,WCw,,DC1,5.68,52,20240422,20260420
G1R004,Berg River,Berg,9,WCw,CT,DC2,127.05,52,20240422,20260420
G4R001,~Steenbras-Lower,Steenbras,9,WCw,CT,CPT,33.88,52,20240422,20260420
G4R002,Eikenhof,Palmiet,8,WCw,,DC3,28.86,52,20240422,20260420
G4R007,~Steenbras-Upper,Steenbras,9,WCw,CT,CPT,31.81,52,20240422,20260420
G4R010,De Bos,Onrus,8,WCw,,DC3,5.74,52,20240422,20260420
H1R001,Brandvlei,LowerBrandvlei,8,WCw,,DC2,286.04,52,20240422,20260420
H1R002,Stettynskloof,Holsloot,8,WCw,,DC2,14.75,52,20240422,20260420
H1R003,Ceres,Koekedou,8,WCw,,DC2,17.25,52,20240422,20260420
H2R001,Roode ElsBerg,Sanddrifskloof,8,WCw,,DC2,7.73,52,20240422,20260420
H2R002,Lakenvallei,Sanddrifskloof,8,WCw,,DC2,10.44,52,20240422,20260420
H3R001,Poortjieskloof,Groot,8,WCw,,DC2,9.72,52,20240422,20260420
H3R002,Pietersfontein,Pietersfontein,8,WCw,,DC2,1.92,52,20240422,20260420
H4R002,Keerom,Nuy,8,WCw,,DC2,9.75,52,20240422,20260420
H4R003,Klipberg,Konings,8,WCw,,DC2,1.94,52,20240422,20260420
H4R004,Kwaggaskloof,Doorn,8,WCw,,DC2,169.41,52,20240422,20260420
H6R001,Theewaterskloof,Riviersonderend,8,WCw,CT,DC3,479.26,52,20240422,20260420
H6R002,Elandskloof,Elands,8,WCw,,DC3,10.99,52,20240422,20260420
H7R001,Buffeljags,Buffeljags,8,WCo,,DC3,4.54,52,20240422,20260420
H8R001,Duiwenhoks,Duiwenhoks,8,WCo,,DC4,6.18,52,20240422,20260420
H9R001,Korentepoort,Korinte,8,WCo,,DC4,8.09,52,20240422,20260420
J1R001,Prinsrivier,Prins,8,WCo,,DC4,2.26,52,20240422,20260420
